INFO  - 2014-06-17 15:48:53.113; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/dist/solr-clustering-4.8.1.jar' to classloader
INFO  - 2014-06-17 15:48:53.114; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2014-06-17 15:48:53.114; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2014-06-17 15:48:53.115; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/dist/solr-langid-4.8.1.jar' to classloader
INFO  - 2014-06-17 15:48:53.116; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2014-06-17 15:48:53.116; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2014-06-17 15:48:53.116; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2014-06-17 15:48:53.116; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2014-06-17 15:48:53.117; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mueller/websearcher/solr-4.8.1/dist/solr-velocity-4.8.1.jar' to classloader
INFO  - 2014-06-17 15:48:53.518; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-06-17 15:48:53.526; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_48
INFO  - 2014-06-17 15:48:53.917; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-06-17 15:48:53.984; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-06-17 15:48:54.273; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
WARN  - 2014-06-17 15:48:54.579; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.IntField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-06-17 15:48:54.588; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.LongField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-06-17 15:48:54.596; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.FloatField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-06-17 15:48:54.605; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.DoubleField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-06-17 15:48:54.618; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.DateField]. Please consult documentation how to replace it accordingly.
WARN  - 2014-06-17 15:48:55.562; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.ThaiWordFilterFactory]. Please consult documentation how to replace it accordingly.
INFO  - 2014-06-17 15:48:55.660; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-06-17 15:48:55.682; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2014-06-17 15:48:55.683; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2014-06-17 15:48:55.941; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-06-17 15:48:55.958; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-06-17 15:48:56.223; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /Users/mueller/websearcher/solr-4.8.1/example/solr/collection1/
INFO  - 2014-06-17 15:48:56.256; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-06-17 15:48:56.270; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/mueller/websearcher/solr-4.8.1/example/solr/collection1/, dataDir=/Users/mueller/websearcher/solr-4.8.1/example/solr/collection1/data/
INFO  - 2014-06-17 15:48:56.282; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-06-17 15:48:56.289; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-06-17 15:48:56.290; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-06-17 15:48:56.312; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/mueller/websearcher/solr-4.8.1/example/solr/collection1/data
INFO  - 2014-06-17 15:48:56.334; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/mueller/websearcher/solr-4.8.1/example/solr/collection1/data/index/
WARN  - 2014-06-17 15:48:56.335; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/mueller/websearcher/solr-4.8.1/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2014-06-17 15:48:56.352; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/mueller/websearcher/solr-4.8.1/example/solr/collection1/data/index
INFO  - 2014-06-17 15:48:56.423; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/Users/mueller/websearcher/solr-4.8.1/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/mueller/websearcher/solr-4.8.1/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-06-17 15:48:56.425; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-06-17 15:48:56.431; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-06-17 15:48:56.432; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-06-17 15:48:56.433; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-06-17 15:48:56.438; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-06-17 15:48:56.439; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-06-17 15:48:56.578; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-06-17 15:48:56.626; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-06-17 15:48:56.627; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-06-17 15:48:56.650; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-06-17 15:48:56.650; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2014-06-17 15:48:56.668; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-06-17 15:48:56.669; org.apache.solr.core.RequestHandlers; created /update/json: solr.UpdateRequestHandler
INFO  - 2014-06-17 15:48:56.674; org.apache.solr.core.RequestHandlers; created /update/csv: solr.UpdateRequestHandler
INFO  - 2014-06-17 15:48:56.675; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-06-17 15:48:56.676; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2014-06-17 15:48:56.676; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-06-17 15:48:56.676; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-06-17 15:48:56.677; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2014-06-17 15:48:56.677; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-06-17 15:48:56.682; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2014-06-17 15:48:56.685; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2014-06-17 15:48:56.688; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2014-06-17 15:48:56.708; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2014-06-17 15:48:56.708; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-06-17 15:48:56.708; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2014-06-17 15:48:56.708; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-06-17 15:48:56.709; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2014-06-17 15:48:56.709; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-06-17 15:48:56.709; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-06-17 15:48:56.710; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-06-17 15:48:56.710; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-06-17 15:48:56.710; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-06-17 15:48:56.711; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-06-17 15:48:56.787; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-06-17 15:48:56.790; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-06-17 15:48:56.792; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-06-17 15:48:56.822; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-06-17 15:48:56.823; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-06-17 15:48:56.835; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/Users/mueller/websearcher/solr-4.8.1/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/mueller/websearcher/solr-4.8.1/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-06-17 15:48:56.836; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-06-17 15:48:56.845; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@1ae78d87[collection1] main
INFO  - 2014-06-17 15:48:56.855; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /Users/mueller/websearcher/solr-4.8.1/example/solr/collection1/conf
INFO  - 2014-06-17 15:48:56.855; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/Users/mueller/websearcher/solr-4.8.1/example/solr/collection1/conf/}
INFO  - 2014-06-17 15:48:56.857; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/Users/mueller/websearcher/solr-4.8.1/example/solr/collection1/conf
WARN  - 2014-06-17 15:48:56.858; org.apache.solr.rest.ManagedResource; No stored data found for /rest/managed
WARN  - 2014-06-17 15:48:56.864; org.apache.solr.rest.ManagedResource; No registered observers for /rest/managed
INFO  - 2014-06-17 15:48:56.864; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2014-06-17 15:48:56.865; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/Users/mueller/websearcher/solr-4.8.1/example/solr/collection1/conf
INFO  - 2014-06-17 15:48:56.874; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/Users/mueller/websearcher/solr-4.8.1/example/solr/collection1/conf
INFO  - 2014-06-17 15:48:56.875; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2014-06-17 15:48:56.876; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2014-06-17 15:48:56.877; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2014-06-17 15:48:56.878; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=/Users/mueller/websearcher/solr-4.8.1/example/solr/collection1/conf
INFO  - 2014-06-17 15:48:56.882; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=/Users/mueller/websearcher/solr-4.8.1/example/solr/collection1/conf
INFO  - 2014-06-17 15:48:56.883; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2014-06-17 15:48:56.884; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
